time te rho
5.010000e-09 3.358000e+01 6.641000e-05
5.020000e-09 3.353000e+01 6.577000e-05
5.030000e-09 3.349000e+01 6.514000e-05
5.040000e-09 3.344000e+01 6.451000e-05
5.050000e-09 3.339000e+01 6.389000e-05
5.060000e-09 3.335000e+01 6.327000e-05
5.070000e-09 3.330000e+01 6.266000e-05
5.080000e-09 3.325000e+01 6.205000e-05
5.090000e-09 3.320000e+01 6.145000e-05
5.100000e-09 3.316000e+01 6.085000e-05
5.110000e-09 3.311000e+01 6.025000e-05
5.120000e-09 3.306000e+01 5.966000e-05
5.130000e-09 3.301000e+01 5.907000e-05
5.140000e-09 3.296000e+01 5.849000e-05
5.150000e-09 3.291000e+01 5.790000e-05
5.160000e-09 3.286000e+01 5.732000e-05
5.170000e-09 3.281000e+01 5.675000e-05
5.180000e-09 3.276000e+01 5.617000e-05
5.190000e-09 3.271000e+01 5.560000e-05
5.200000e-09 3.266000e+01 5.503000e-05
5.210000e-09 3.261000e+01 5.446000e-05
5.220000e-09 3.256000e+01 5.390000e-05
5.230000e-09 3.251000e+01 5.334000e-05
5.240000e-09 3.246000e+01 5.279000e-05
5.250000e-09 3.241000e+01 5.224000e-05
5.260000e-09 3.236000e+01 5.170000e-05
5.270000e-09 3.231000e+01 5.116000e-05
5.280000e-09 3.225000e+01 5.063000e-05
5.290000e-09 3.220000e+01 5.011000e-05
5.300000e-09 3.215000e+01 4.960000e-05
5.310000e-09 3.210000e+01 4.909000e-05
5.320000e-09 3.205000e+01 4.859000e-05
5.330000e-09 3.200000e+01 4.810000e-05
5.340000e-09 3.195000e+01 4.762000e-05
5.350000e-09 3.190000e+01 4.715000e-05
5.360000e-09 3.185000e+01 4.668000e-05
5.370000e-09 3.180000e+01 4.623000e-05
5.380000e-09 3.175000e+01 4.578000e-05
5.390000e-09 3.171000e+01 4.534000e-05
5.400000e-09 3.166000e+01 4.491000e-05
5.410000e-09 3.161000e+01 4.449000e-05
5.420000e-09 3.156000e+01 4.407000e-05
5.430000e-09 3.152000e+01 4.366000e-05
5.440000e-09 3.147000e+01 4.326000e-05
5.450000e-09 3.142000e+01 4.287000e-05
5.460000e-09 3.138000e+01 4.248000e-05
